Level,ID,Sigma,CPSC,PCT,TPCT
Project,2_j3017_3,0.3,69.873,69.985,0.129
Project,2_j3017_3,0.6,258.381,87.166,0.014
Project,2_j3017_3,0.9,658.616,125.836,0.002
Project,3_j3010_9,0.3,40.259,54.357,0.138
Project,3_j3010_9,0.6,126.683,65.604,0.049
Project,3_j3010_9,0.9,287.897,91.59,0.009
Project,4_j301_1,0.3,26.54,49.67,0.336
Project,4_j301_1,0.6,116.192,60.736,0.048
Project,4_j301_1,0.9,345.483,90.617,0.003
Project,5_j3020_1,0.3,95.304,64.114,0.079
Project,5_j3020_1,0.6,283.534,81.327,0.008
Project,5_j3020_1,0.9,678.508,123.857,0.0
Project,6_j3048_3,0.3,83.129,57.001,0.062
Project,6_j3048_3,0.6,284.087,77.853,0.002
Project,6_j3048_3,0.9,677.831,120.054,0.001
Project,7_j308_3,0.3,67.386,58.54,0.113
Project,7_j308_3,0.6,199.445,72.789,0.013
Project,7_j308_3,0.9,452.94,105.711,0.002
Project,8_j3035_2,0.3,61.019,62.61,0.058
Project,8_j3035_2,0.6,231.054,81.676,0.001
Project,8_j3035_2,0.9,600.291,124.512,0.0
Project,9_j6039_9,0.3,168.121,82.495,0.022
Project,9_j6039_9,0.6,621.968,109.976,0.001
Project,9_j6039_9,0.9,1646.644,170.055,0.0
Project,10_j6046_4,0.3,110.873,86.641,0.007
Project,10_j6046_4,0.6,543.117,111.568,0.0
Project,10_j6046_4,0.9,1520.31,167.275,0.0
Project,11_j609_10,0.3,33.661,106.045,0.12
Project,11_j609_10,0.6,137.788,118.491,0.02
Project,11_j609_10,0.9,451.272,154.878,0.002
Project,12_j6042_8,0.3,107.65,95.221,0.051
Project,12_j6042_8,0.6,512.993,122.643,0.0
Project,12_j6042_8,0.9,1428.583,181.963,0.0
MTPC,Program,0.3,119.129,339.559,0.0
MTPC,Program,0.6,232.958,444.643,0.0
MTPC,Program,0.9,984.529,689.826,0.0
STC,Program,0.3,17.139,382.226,0.997
STC,Program,0.6,232.232,445.784,0.058
STC,Program,0.9,984.55,689.833,0.0
